time_ms,mass_flow_rate_kg_per_s
15.900000,3.030630
15.950000,3.016788
16.000000,3.002460
16.050000,2.989561
16.100000,2.976198
16.150000,2.961976
16.200000,2.947569
16.250000,2.934153
16.300000,2.922581
16.350000,2.912759
16.400000,2.904224
16.450000,2.897380
16.500000,2.891251
16.550000,2.883367
16.600000,2.874747
16.650000,2.867624
16.700000,2.861911
16.750000,2.857908
16.800000,2.855038
16.850000,2.853443
16.900000,2.852773
16.950000,2.850687
17.000000,2.847502
17.050000,2.845266
17.100000,2.844657
17.150000,2.845395
17.200000,2.847924
17.250000,2.851342
17.300000,2.854997
17.350000,2.858591
17.400000,2.859557
17.450000,2.860654
17.500000,2.863104
17.550000,2.865183
17.600000,2.867815
17.650000,2.871366
17.700000,2.874797
17.750000,2.877080
17.800000,2.876735
17.850000,2.875757
17.900000,2.876474
17.950000,2.876646
18.000000,2.876656
18.050000,2.878194
18.100000,2.879989
18.150000,2.880531
18.200000,2.879531
18.250000,2.876975
18.300000,2.875446
18.350000,2.874751
18.400000,2.873830
18.450000,2.873669
18.500000,2.874209
18.550000,2.871446
18.600000,2.866258
18.650000,2.860335
18.700000,2.854087
18.750000,2.847320
18.800000,2.838823
18.850000,2.829116
18.900000,2.819631
18.950000,2.810169
19.000000,2.799386
19.050000,2.788970
19.100000,2.778235
19.150000,2.768981
19.200000,2.761483
19.250000,2.755465
19.300000,2.751384
19.350000,2.748823
19.400000,2.744304
19.450000,2.739270
19.500000,2.733804
19.550000,2.726982
19.600000,2.719857
19.650000,2.713121
19.700000,2.706320
19.750000,2.699876
19.800000,2.690692
19.850000,2.679861
19.900000,2.668830
19.950000,2.657328
20.000000,2.645806
20.050000,2.636989
20.100000,2.629928
20.150000,2.623765
20.200000,2.618192
20.250000,2.611574
20.300000,2.605311
20.350000,2.599609
20.400000,2.593592
20.450000,2.588733
20.500000,2.585057
20.550000,2.580695
20.600000,2.575400
20.650000,2.568592
20.700000,2.560151
20.750000,2.550752
20.800000,2.541030
20.850000,2.531506
20.900000,2.523594
20.950000,2.515290
21.000000,2.505471
21.050000,2.495196
21.100000,2.484044
21.150000,2.472023
21.200000,2.460734
21.250000,2.449552
21.300000,2.439712
21.350000,2.430633
21.400000,2.421563
21.450000,2.412593
21.500000,2.403600
21.550000,2.393190
21.600000,2.383440
21.650000,2.374982
21.700000,2.367254
21.750000,2.360626
21.800000,2.354438
21.850000,2.347907
21.900000,2.341742
