0.05,1.3817
0.1,1.3829
0.15,1.3829
0.2,1.3792
0.25,1.3833
0.3,1.3779
0.35,1.37
0.4,1.3708
0.45,1.3683
0.5,1.3642
0.55,1.3708
0.6,1.3675
0.65,1.3688
0.7,1.3725
0.75,1.3633
0.8,1.3667
0.85,1.3692
0.9,1.3654
0.95,1.3688
1,1.3725
1.05,1.3663
1.1,1.3688
1.15,1.3608
1.2,1.3546
1.25,1.3583
1.3,1.3538
1.35,1.3508
1.4,1.3554
1.45,1.3508
1.5,1.3463
1.55,1.3542
1.6,1.3421
1.65,1.3421
1.7,1.3446
1.75,1.3421
1.8,1.3483
1.85,1.3496
1.9,1.3442
1.95,1.35
2,1.3458
2.05,1.3358
2.1,1.34
2.15,1.3363
2.2,1.3333
2.25,1.3371
2.3,1.3329
2.35,1.3283
2.4,1.3254
2.45,1.3183
2.5,1.3125
2.55,1.3192
2.6,1.3171
2.65,1.3192
2.7,1.3254
2.75,1.3183
2.8,1.3229
2.85,1.3167
2.9,1.3096
2.95,1.3146
3,1.3183
3.05,1.3133
3.1,1.3163
3.15,1.3125
3.2,1.3104
3.25,1.3025
3.3,1.2971
3.35,1.295
3.4,1.3
3.45,1.2946
3.5,1.2929
3.55,1.2971
3.6,1.2942
3.65,1.2842
3.7,1.2875
3.75,1.2829
3.8,1.2879
3.85,1.2921
3.9,1.2867
3.95,1.2892
4,1.2933
4.05,1.2825
4.1,1.2792
4.15,1.2771
4.2,1.2733
4.25,1.2804
4.3,1.2742
4.35,1.27
4.4,1.275
4.45,1.27
4.5,1.2571
4.55,1.2612
4.6,1.2608
4.65,1.2629
4.7,1.2638
4.75,1.26
4.8,1.2675
4.85,1.2692
4.9,1.2546
4.95,1.2558
5,1.2621
5.05,1.255
5.1,1.2554
5.15,1.2567
5.2,1.2521
5.25,1.2563
5.3,1.2404
5.35,1.2379
5.4,1.2413
5.45,1.2367
5.5,1.2354
5.55,1.2375
5.6,1.235
5.65,1.2392
5.7,1.2325
5.75,1.2275
5.8,1.2317
5.85,1.2346
5.9,1.2296
5.95,1.2346
6,1.2367
6.05,1.2329
6.1,1.2346
6.15,1.2225
6.2,1.2188
6.25,1.2229
6.3,1.2188
6.35,1.2158
6.4,1.2188
6.45,1.2163
6.5,1.2108
6.55,1.2058
6.6,1.1921
6.65,1.2033
6.7,1.2092
6.75,1.2042
6.8,1.2096
6.85,1.2129
6.9,1.2071
6.95,1.2021
7,1.2042
7.05,1.1992
7.1,1.1992
7.15,1.2004
7.2,1.1954
7.25,1.2008
7.3,1.1963
7.35,1.1867
7.4,1.1863
7.45,1.1838
7.5,1.1783
7.55,1.1825
7.6,1.1804
7.65,1.1825
7.7,1.1867
7.75,1.18
7.8,1.1738
7.85,1.1783
7.9,1.1733
7.95,1.1779
8,1.1804
8.05,1.1763
8.1,1.1808
8.15,1.1917
8.2,1.1813
8.25,1.2333
8.3,1.2267
8.35,1.2392
8.4,1.1942
8.45,1.1738
8.5,1.2113
8.55,1.17
8.6,1.0938
8.65,1.1058
8.7,1.1229
8.75,1.0858
8.8,1.0713
8.85,1.0892
8.9,1.11
8.95,1.1517
9,1.0833
9.05,1.1313
9.1,1.2067
9.15,1.165
9.2,1.1796
9.25,1.2183
9.3,1.1975
9.35,1.2087
9.4,1.1696
9.45,1.1346
9.5,1.1887
9.55,1.1442
9.6,1.0788
9.65,1.1071
9.7,1.1004
9.75,1.0433
9.8,1.0692
9.85,1.0629
9.9,1.0767
9.95,1.11
10,1.0658
10.05,1.1167
10.1,1.1954
10.15,1.1317
10.2,1.1479
10.25,1.1879
10.3,1.1696
10.35,1.1771
10.4,1.1462
10.45,1.1029
10.5,1.1663
10.55,1.1179
10.6,1.0504
10.65,1.0675
10.7,1.0704
10.75,1.0183
10.8,1.0717
10.85,1.0258
10.9,1.0583
10.95,1.0958
11,1.0517
11.05,1.0967
11.1,1.1383
11.15,1.1367
11.2,1.1254
11.25,1.1638
11.3,1.1638
11.35,1.1658
11.4,1.1313
11.45,1.0913
11.5,1.1329
11.55,1.0829
11.6,1.025
11.65,1.0704
11.7,1.0438
11.75,1.0067
11.8,1.0258
11.85,1.0104
11.9,1.03
11.95,1.055
12,1.015
12.05,1.0604
12.1,1.0713
12.15,1.0737
12.2,1.0708
12.25,1.0721
12.3,1.0621
12.35,1.0542
12.4,1.0621
12.45,1.055
12.5,1.0508
12.55,1.0588
12.6,1.055
12.65,1.0546
12.7,1.0558
12.75,1.0458
12.8,1.0517
12.85,1.0546
12.9,1.0492
12.95,1.0558
13,1.0558
13.05,1.0529
13.1,1.0558
13.15,1.0446
13.2,1.0438
13.25,1.0463
13.3,1.0404
13.35,1.0371
13.4,1.0408
13.45,1.0363
13.5,1.035
13.55,1.0312
13.6,1.0267
13.65,1.0283
13.7,1.0325
13.75,1.0283
13.8,1.0317
13.85,1.0354
13.9,1.0275
13.95,1.0288
14,1.03
14.05,1.0258
14.1,1.03
14.15,1.0288
14.2,1.0225
14.25,1.0238
14.3,1.0233
14.35,1.0179
14.4,1.0146
14.45,1.0104
14.5,1.0058
14.55,1.0129
14.6,1.0083
14.65,1.0104
14.7,1.0167
14.75,1.0088
14.8,1.0067
14.85,1.0104
14.9,1.0021
14.95,1.0092
15,1.0121
15.05,1.0075
15.1,1.0083
15.15,1.01
15.2,0.99625
15.25,1.0004
15.3,0.99458
15.35,0.98958
15.4,0.99833
15.45,0.99208
15.5,0.98917
15.55,0.99458
15.6,0.98792
15.65,0.98333
15.7,0.98625
15.75,0.98333
15.8,0.98792
15.85,0.99125
15.9,0.98625
15.95,0.99042
16,0.995
16.05,0.97958
16.1,0.98292
16.15,0.98042
16.2,0.97917
16.25,0.98083
16.3,0.9775
16.35,0.975
16.4,0.97792
16.45,0.9675
16.5,0.96208
16.55,0.96792
16.6,0.96542
16.65,0.96708
16.7,0.97083
16.75,0.9675
16.8,0.97125
16.85,0.96833
16.9,0.96375
16.95,0.96542
